*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=ScrewShield
*Date=15:21:59
*CreatedBy=Fritzing 0.9.6b.2021-02-21.CD-175-0-8a1e0682
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
239;;;24.4856;-65.3594;0;Bottom;Copper Fill50
240;;;47.5918;-53.6817;0;Bottom;Via3
241;;;29.8118;-30.8215;0;Bottom;Via161
242;;;19.6518;-33.3617;0;Bottom;Via112
243;;;32.3518;-33.3617;0;Bottom;Via172
244;;;72.2249;-25.7862;0;Bottom;Copper Fill23
245;;;19.6518;-40.9817;0;Bottom;Via115
246;;;24.7318;-43.5215;0;Bottom;Via141
247;;;52.6718;-58.7617;0;Bottom;Via44
248;;;39.243;-60.0762;0;Bottom;Copper Fill71
249;;;58.0685;-14.2842;-90;Bottom;TXT2
250;;;32.3518;-56.2219;0;Bottom;Via178
251;;;37.4318;-40.9817;0;Bottom;Via199
252;;;36.1308;-44.7917;0;Bottom; 
253;;;45.0518;-40.9817;0;Bottom;Via18
254;;;42.5118;-35.9017;0;Bottom;Via228
255;;;52.6718;-53.6815;0;Bottom;Via47
256;;;37.4318;-51.1417;0;Bottom;Via194
257;;;24.7318;-33.3615;0;Bottom;Via136
258;;;37.4318;-43.5217;0;Bottom;Via201
259;;;52.6718;-48.6015;0;Bottom;Via42
260;;;38.7096;-24.2876;0;Bottom;Copper Fill77
261;;;32.3518;-51.1417;0;Bottom;Via170
262;;;12.1357;-58.183;-90;Bottom;TXT2
263;;;47.5918;-46.0617;0;Bottom;Via6
264;;;8.98156;-58.9071;-90;Bottom;TXT2
265;;;34.8918;-40.9817;0;Bottom;Via187
266;;;92.4179;-33.3935;0;Bottom;Copper Fill35
267;;;72.6231;-75.9837;-90;Bottom;TXT2
268;;;32.3518;-53.6817;0;Bottom;Via179
269;;;50.1318;-46.0617;0;Bottom;Via27
270;;;19.6469;-84.5999;0;Bottom;Copper Fill13
271;;;32.3518;-35.9017;0;Bottom;Via180
